2023-01-30 09:42:27.574 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2023-01-30 09:42:27.574 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2023-01-30 09:42:27.574 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2023-01-30 09:42:27.574 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'webStatFilter' to urls: [/*]
2023-01-30 09:42:27.574 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'delegatingFilterProxy' to: [/*]
2023-01-30 09:42:27.574 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Filter webStatFilter was not registered (possibly already registered?)
2023-01-30 09:42:27.574 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'shiroFilter' to: [/*]
2023-01-30 09:42:27.760 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2023-01-30 09:42:29.682 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-01-30 09:42:30.984 [main] INFO  o.s.ui.freemarker.SpringTemplateLoader - SpringTemplateLoader for FreeMarker: using resource loader [org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@27462a88: startup date [Mon Jan 30 09:42:25 CST 2023]; root of context hierarchy] and template loader path [classpath:/templates/]
2023-01-30 09:42:30.984 [main] INFO  o.s.w.servlet.view.freemarker.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2023-01-30 09:42:33.639 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@27462a88: startup date [Mon Jan 30 09:42:25 CST 2023]; root of context hierarchy
2023-01-30 09:42:33.756 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogArticle/add],methods=[POST]}" onto public com.mysiteforme.admin.util.RestResponse com.mysiteforme.admin.controller.BlogArticleController.add(com.mysiteforme.admin.entity.BlogArticle)
2023-01-30 09:42:33.757 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogArticle/add],methods=[GET]}" onto public java.lang.String com.mysiteforme.admin.controller.BlogArticleController.add(java.lang.Long,org.springframework.ui.Model)
2023-01-30 09:42:33.757 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogArticle/delete],methods=[POST]}" onto public com.mysiteforme.admin.util.RestResponse com.mysiteforme.admin.controller.BlogArticleController.delete(java.lang.Long)
2023-01-30 09:42:33.757 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogArticle/list],methods=[POST]}" onto public com.mysiteforme.admin.util.LayerData<com.mysiteforme.admin.entity.BlogArticle> com.mysiteforme.admin.controller.BlogArticleController.list(java.lang.Integer,java.lang.Integer,javax.servlet.ServletRequest)
2023-01-30 09:42:33.757 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogArticle/list],methods=[GET]}" onto public java.lang.String com.mysiteforme.admin.controller.BlogArticleController.list()
2023-01-30 09:42:33.758 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogArticle/edit],methods=[GET]}" onto public java.lang.String com.mysiteforme.admin.controller.BlogArticleController.edit(java.lang.Long,org.springframework.ui.Model)
2023-01-30 09:42:33.758 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogArticle/edit],methods=[POST]}" onto public com.mysiteforme.admin.util.RestResponse com.mysiteforme.admin.controller.BlogArticleController.edit(com.mysiteforme.admin.entity.BlogArticle)
2023-01-30 09:42:33.758 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogArticle/createIndex],methods=[GET]}" onto public com.mysiteforme.admin.util.RestResponse com.mysiteforme.admin.controller.BlogArticleController.createIndex()
2023-01-30 09:42:33.759 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogChannel/add],methods=[POST]}" onto public com.mysiteforme.admin.util.RestResponse com.mysiteforme.admin.controller.BlogChannelController.add(com.mysiteforme.admin.entity.BlogChannel)
2023-01-30 09:42:33.759 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogChannel/add],methods=[GET]}" onto public java.lang.String com.mysiteforme.admin.controller.BlogChannelController.add(java.lang.Long,org.springframework.ui.Model)
2023-01-30 09:42:33.760 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogChannel/delete],methods=[POST]}" onto public com.mysiteforme.admin.util.RestResponse com.mysiteforme.admin.controller.BlogChannelController.delete(java.lang.Long)
2023-01-30 09:42:33.760 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogChannel/list],methods=[POST]}" onto public com.mysiteforme.admin.util.RestResponse com.mysiteforme.admin.controller.BlogChannelController.list(javax.servlet.http.HttpServletRequest)
2023-01-30 09:42:33.760 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogChannel/list],methods=[GET]}" onto public java.lang.String com.mysiteforme.admin.controller.BlogChannelController.list()
2023-01-30 09:42:33.760 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogChannel/edit],methods=[GET]}" onto public java.lang.String com.mysiteforme.admin.controller.BlogChannelController.edit(java.lang.Long,org.springframework.ui.Model)
2023-01-30 09:42:33.760 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogChannel/edit],methods=[POST]}" onto public com.mysiteforme.admin.util.RestResponse com.mysiteforme.admin.controller.BlogChannelController.edit(com.mysiteforme.admin.entity.BlogChannel)
2023-01-30 09:42:33.761 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogChannel/ztreeData],methods=[POST]}" onto public com.mysiteforme.admin.util.RestResponse com.mysiteforme.admin.controller.BlogChannelController.getZtreeChannelData()
2023-01-30 09:42:33.761 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogChannel/checkHref],methods=[POST]}" onto public com.mysiteforme.admin.util.RestResponse com.mysiteforme.admin.controller.BlogChannelController.checkHref(java.lang.Long,java.lang.String)
2023-01-30 09:42:33.762 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogComment/add],methods=[POST]}" onto public com.mysiteforme.admin.util.RestResponse com.mysiteforme.admin.controller.BlogCommentController.add(com.mysiteforme.admin.entity.BlogComment,javax.servlet.http.HttpServletRequest)
2023-01-30 09:42:33.762 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogComment/add],methods=[GET]}" onto public java.lang.String com.mysiteforme.admin.controller.BlogCommentController.add()
2023-01-30 09:42:33.762 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogComment/delete],methods=[POST]}" onto public com.mysiteforme.admin.util.RestResponse com.mysiteforme.admin.controller.BlogCommentController.delete(java.lang.Long)
2023-01-30 09:42:33.762 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogComment/list],methods=[POST]}" onto public com.mysiteforme.admin.util.LayerData<com.mysiteforme.admin.entity.BlogComment> com.mysiteforme.admin.controller.BlogCommentController.list(java.lang.Integer,java.lang.Integer,javax.servlet.ServletRequest)
2023-01-30 09:42:33.763 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogComment/list],methods=[GET]}" onto public java.lang.String com.mysiteforme.admin.controller.BlogCommentController.list()
2023-01-30 09:42:33.763 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/blogComment/edit],methods=[GET]}" onto public java.lang.String com.mysiteforme.admin.controller.BlogCommentController.edit(java.lang.Long,org.springframework.ui.Model)
